,quadragram,PMI
312,"('a', 'recursive', 'process', 'exercise')",21.53209818976928
313,"('will', 'bleed', 'for', 'i')",21.527619226571378
314,"('structure', 'and', 'interpretation', 'of')",21.5008302743531
315,"('from', 'state', 'to', 'state')",21.49434910093538
316,"('you', 'arm', 'give', 'up')",21.473890991572226
317,"('down', 'again', 'how', 'do')",21.450525192505037
318,"('corner', 'of', 'my', 'eye')",21.44323436967726
319,"('the', 'expressive', 'power', 'of')",21.40483347242011
320,"('find', 'maybe', 'in', 'time')",21.35837220679507
321,"('use', 'the', 'substitution', 'model')",21.30854470171319
322,"('number', 'of', 'step', 'grow')",21.303441174000596
323,"('you', 'feel', 'when', 'rain')",21.300304976009244
324,"('J.D.', ""'s"", 'Thought', 'I')",21.289529903148157
325,"('don', '’t', 'know', 'what')",21.271987410205483
326,"('there', 'be', 'someth', 'different')",21.206341361797953
327,"('dead', 'blackened', 'be', 'the')",21.20108150225956
328,"('the', 'dead', 'blackened', 'be')",21.20108150225956
329,"('for', 'the', 'formal', 'parameter')",21.16862257716061
330,"('we', '’ve', 'got', 'to')",21.149170852022042
331,"('sleep', 'in', 'a', 'bed')",21.141187051602746
332,"('procedure', 'generate', 'a', 'recursive')",21.12333480299685
333,"('that', 'fool', 'the', 'Fermat')",21.098264633696395
334,"('Dr', 'Kelso', 'that', ""'s"")",21.095504755100038
335,"('J.D.', ""'s"", 'Narration', 'and')",21.09387366952111
336,"('than', 'or', 'equal', 'to')",21.092386026274298
337,"('a', 'recursive', 'process', 'write')",21.08779609598524
338,"('go', 'to', 'dry', 'her')",21.08594314195551
339,"('that', 'day', 'lost', 'my')",21.06365426326075
340,"('a', 'iterative', 'process', 'write')",21.05462923205004
341,"('with', 'a', 'initial', 'guess')",21.042042935942938
342,"('term', 'a', 'next', 'b')",21.036180696910268
343,"('x', '+', 'x', '2')",21.01744388857967
344,"('use', 'a', 'logarithmic', 'number')",21.00250710065897
345,"('cry', '', 'do', 'not')",20.9783625794203
346,"('you', 'take', 'this', 'promise')",20.977834690476673
347,"('the', 'university', 'of', 'Virginia')",20.95111550497721
348,"('define', 'square', 'x', 'x')",20.91311893130541
349,"('x', 'if', 'good', 'enough')",20.89356003085236
350,"('the', 'square', '-roet', 'procedure')",20.882987169245837
351,"('above', 'you', 'baby', 'and')",20.88242755551263
352,"('best', 'song', 'in', 'the')",20.88117701211892
353,"('be', 'sometimes', 'known', 'as')",20.852553420984943
354,"('have', 'change', 'my', 'mind')",20.837466112309926
355,"('you', ""'"", 'll', 'want')",20.81987796637448
356,"('Over', 'and', 'over', 'I')",20.819051147520597
357,"('guess', 'x', 'if', 'good')",20.80609718960202
358,"('as', 'show', 'in', 'figure')",20.794171786412882
359,"('be', 'where', 'she', 'lie')",20.758257376997403
360,"('please', '', 'do', 'not')",20.755970158083848
361,"('require', 'n', 'step', 'and')",20.750293030175676
362,"('find', 'a', 'place', 'where')",20.70969932995204
